doc_id,text
DOC_00001,"When I first saw this, I thought for a second that it was a headline from The Star about the pliers found in the SRB recently. Y'know, sometimes they have wire-cutters built in :-) -Tommy Mac ------------------------------------------------------------------------- Tom McWilliams 517-355-2178 wk \\ As the radius of vision increases, 18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows."
DOC_00002,"The difficulties of a high Isp OTV include: Long transfer times (radiation damage from VanAllen belts for both the spacecraft and OTV Arcjets or Xenon thrusters require huge amounts of power so you have to have either nuclear power source (messy, dangerous and source of radiation damage) or BIG solar arrays (sensitive to radiation, or heavy) that make attitude control and docking a big pain. If you go solar, you have to replace the arrays every trip, with current technology. Nuclear power sources are strongly restricted by international treaty. Refueling (even for very high Isp like xenon) is still required and] turn out to be a pain. You either have to develop autonomous rendezvous or long range teleoperation to do docking or ( and refueling) . You still can't do much plane change because the deltaV required is so high! The Air Force continues to look at doing things this way though. I suppose they are biding their time till the technology becomes available and the problems get solved. Not impossible in principle, but hard to do and marginally cheaper than one shot rockets, at least today. Just a few random thoughts on high Isp OTV's. I designed one once..."
DOC_00003,"Forwarded from Neal Ausman, Galileo Mission Director GALILEO MISSION DIRECTOR STATUS REPORT POST-LAUNCH April 9 - 15, 1993 SPACECRAFT 1. On April 9, real-time commands were sent, as planned, to reacquire celestial reference after completion of the Low Gain Antenna (LGA-2) swing/Dual Drive Actuator (DDA) hammer activities. 2. On April 9, the EJ-1 (Earth-Jupiter #1) sequence memory load was uplinked to the spacecraft without incident. This sequence covers spacecraft activity from April 12, 1993 to June 14, 1993 and includes a window for the Radio Relay Antenna (RRA) slew test on April 28, 1993. The command loss timer was set to 11 days as a part of this sequence memory load. 3. On April 12 and 15, a NO-OP command was sent to reset the command loss timer to 264 hours, its planned value during this mission phase. 4. On April 12, cruise science Memory Readouts (MROs) were performed for the Extreme Ultraviolet Spectrometer (EUV), Dust Detector (DDS), and Magnetometer (MAG) instruments. Preliminary analysis indicates the data was received properly. 5. On April 12, an Ultra-Stable Oscillator (USO) test was performed to verify the health status of the USO and to collect gravitational red shift experiment data; long term trend analysis is continuing. 6. On April 14, a 40bps modulation index test was performed to determine the optimal Signal-to-Noise Ratio (SNR) when transmitting at 40bps. Preliminary analysis of the data suggests that the present pre-launch selected modulation index is near the optimal level. 7. On April 15, cruise science Memory Readouts (MROs) were performed for the Extreme Ultraviolet Spectrometer (EUV) and Magnetometer (MAG) instrument. Preliminary analysis indicates the data was received properly. 8. On April 15, a periodic RPM (Retro-Propulsion Module) 10-Newton thruster flushing maintenance activity was performed; all 12 thrusters were flushed during the activity. Thruster performance throughout the activity was nominal. 9. The AC/DC bus imbalance measurements have not exhibited significant changes (greater than 25 DN) throughout this period. The AC measurement reads 19 DN (4.3 volts). The DC measurement reads 111 DN (12.9 volts). These measurements are consistent with the model developed by the AC/DC special anomaly team. 10. The Spacecraft status as of April 15, 1993, is as follows: a) System Power Margin - 60 watts b) Spin Configuration - Dual-Spin c) Spin Rate/Sensor - 3.15rpm/Star Scanner d) Spacecraft Attitude is approximately 18 degrees off-sun (lagging) and 6 degrees off-earth (leading) e) Downlink telemetry rate/antenna- 40bps(coded)/LGA-1 f) General Thermal Control - all temperatures within acceptable range g) RPM Tank Pressures - all within acceptable range h) Orbiter Science- Instruments powered on are the PWS, EUV, UVS, EPD, MAG, HIC, and DDS i) Probe/RRH - powered off, temperatures within acceptable range j) CMD Loss Timer Setting - 264 hours Time To Initiation - 260 hours GDS (Ground Data Systems): 1. Galileo participated in a second DSN (Deep Space Network) acceptance test for the DSN Telemetry Phase 3 Upgrade on April 13, 1993, using CTA-21 (Compatibility Test Area 21). The purpose of this test was to verify the flow of Galileo telemetry data through the new Telemetry Group Controller (TGC) and the Telemetry Channel Assembly (TCA). The TGC/TCA is the replacement for the current Telemetry Processing Assembly (TPA). Seven different telemetry rates were run for this test; all ran well on both the MTS (MCCC Telemetry Subsystem) and the AMMOS MGDS V18.0 GIF with the exception of 10bps. The 10bps rate had some trouble staying in lock; it appears the TGC/TCA was not metering the data correctly. Further comparisons between the MGDS and MTS data from this test are being conducted. MVT (Mission Verification Test) of the TGC/TCA system is expected to begin May 16, 1993. TRAJECTORY As of noon Thursday, April 15, 1993, the Galileo Spacecraft trajectory status was as follows: Distance from Earth 152,606,000 km (1.02 AU) Distance from Sun 277,519,800 km (1.86 AU) Heliocentric Speed 93,400 km per hour Distance from Jupiter 543,973,900 km Round Trip Light Time 17 minutes, 4 seconds SPECIAL TOPIC"
DOC_00004,"Sjogren's syndrome has been known to induce dryness in vaginal tissue as well as induce primary biliary cirrhosis. Otherwise the abdominal swelling could be due to a complication of Sjogren's known as pseudolymphoma which *can* produce a splenomegaly (enlarged spleen). She should definitely see a rheumatologist. Since you don't mention skin disorder, anemia, or joint pain you'd probably rule out erythema nodosum or scleroderma. Josh backon@VMS.HUJI.AC.IL"
DOC_00005,"Yes, I want to concentrate on other development issues - I've created graphics libraries before, it's too time consuming... life's too short! Thanks for the clarification... Before posting my original request I had looked into the Mac's 3D capabilities and dismissed them as low grade."
DOC_00006,"I have a 86 chevy sprint with a/c and 4doors. It's odometer turned 90k and the sensor light started blinking. I went to the dealer and he said it was a maintenance light saying I need to change the Oxygen sensor. He said, It is to be changed every 30k, but since I bought the car when it had 77k, I don't know if the same thing happened at 30k and 60k. He quoted $198 for the part and $50 to install it. The part cost $30 outside, but the mechanic I went to could not fix it saying the sensor is placed too deep in the engine parts. He suggested I wait till it malfunctions before I do anything. If anyone out there owns a chevy sprint, I want to know how they got their Oxygen sensors changed. Also, did you face any problem with fixing it without the dealer's help. Also, what are the results of the oxygen sensor malfunction. Any help would be greatly apprecisted Thanks Nagesh"
DOC_00007,"SEI Level 5 (the highest level -- the SEI stands for Software Engineering Institute). I'm not sure, but I believe that this rating only applies to the flight software. Also keep in mind that it was *not* achieved through the use of sophisticated tools, but rather through a 'brute force and ignorance' attack on the problem during the Challenger standdown - they simply threw hundreds of people at it and did the whole process by hand. I would not consider receiving a 'Warning' status on systems which are not yet in use would detract much (if anything) from such a rating -- I'll have to get the latest copy of the guidelines to make sure (they just issued new ones, I think). Also keep in mind that the SEI levels are concerned primarily with control of the software process; the assumption is that a well controlled process will produce good software. Also keep in mind that SEI Level 5 is DAMNED HARD. Most software in this country is produced by 'engineering practicies' that only rate an SEI Level 1 (if that). -- ""Insisting on perfect safety is for people who don't have the balls to live in the real world."" -- Mary Shafer, NASA Ames Dryden"
DOC_00008,"Assuming one has been cultured as having a throat laden with neiseria meningococcus and given (and taken) a course of ERYC without the culture becoming negative, should one worry about being a carrier?"
DOC_00009,"I've been asking myself this same question for the past year, so, if/when you find out, would you please share the magistic answer with me.. The way I see it right now, work twice as hard so you can have both. cheers :)"
DOC_00010,"Living things maintain small electric fields to (1) enhance certain chemical reactions, (2) promote communication of states with in a cell, (3) communicate between cells (of which the nervous system is a specialized example), and perhaps other uses. These electric fields change with location and time in a large organism. Special photographic techniques such as applying external fields in Kirillian photography interact with these fields or the resistances caused by these fields to make interesting pictures. Perhaps such pictures will be diagonistic of disease problems in organisms when better understood. Perhaps not. Studying the overall electric activity of biological systems is several hundred years old, but not a popular activity. Perhaps, except in the case of a few tissues like nerves and the electric senses of fishes, it is hard to reduce the investigation into small pieces that can be clearly analyzed. There are some hints that manipulating electric fields is a useful therapy such as speeding the healing of broken bones, but not understood why."
DOC_00011,"I only have one comment on this: You call this a *classic* playoff year and yet you don't include a Chicago-Detroit series. C'mon, I'm a Boston fan and I even realize that Chicago-Detroit games are THE most exciting games to watch."
DOC_00012,"LISTING_ID_007 Selling my camera, clean, located near Hasselt, price 450 EUR. selling because of upgrade. selling because of upgrade. original packaging not included. pickup preferred. minor signs of use. pickup preferred. stored indoors. Contact: seller.market@example.com or +32 428 37 76 29. Special listing {ITEM}, bonus voucher DEAL500, only 24 HOURS left. Marketplace ref {CODE}, contact SELLER, reserve amount {AMOUNT}. Marketplace ref PICK99, contact {NAME}, reserve amount 150. Special listing {ITEM}, bonus voucher {CODE}, only {TIME} left. Item {ITEM} available in Hasselt, use code {CODE} before NOW. Offer bundle {ITEM} at 600, claim token FAST777 in {CITY}. Buyer alert for camera: confirm account PAYMENT PORTAL to unlock deal. Special listing camera, bonus voucher DEAL500, only {TIME} left. Special listing watch, bonus voucher {CODE}, only {TIME} left. Item car available in Antwerp, use code {CODE} before {TIME}. Buyer alert for {ITEM}: confirm account PROFILE to unlock deal. Marketplace ref SALE77, contact SELLER, reserve amount 499. Marketplace ref {CODE}, contact {NAME}, reserve amount {AMOUNT}. Buyer alert for laptop: confirm account ACCOUNT to unlock deal. Marketplace ref VIP2026, contact {NAME}, reserve amount 999. Marketplace ref {CODE}, contact {NAME}, reserve amount 499. Buyer alert for laptop: confirm account {ACCOUNT} to unlock deal. <input>LISTING BONUS SALE BUY</span> <form>BUY SALE LISTING BUY</p> <button>FAST FAST BONUS BUY DEAL LISTING</a> <a>FAST FAST DEAL FAST</span> <div>LISTING FAST FAST BONUS</p> <form>LISTING CLICK CLICK BONUS SALE</b> <form>BONUS CLICK OFFER DEAL</p> <div>LISTING CLICK BONUS</b> <b>DEAL BUY SALE BONUS</a> <input>OFFER FAST SALE OFFER</p> <p>BUY BONUS DEAL SALE</input> <div>PROMO CLICK SALE PROMO OFFER CLICK DEAL</input> <button>BUY LISTING OFFER CLICK PROMO PROMO</a> <button>BONUS LISTING PROMO</form> <p>BUY BONUS SALE</p> <button>SALE LISTING SALE</span> <input>SALE LISTING FAST PROMO</p> <a>FAST FAST SALE</b> <form>CLICK BUY LISTING SALE SALE LISTING BONUS</button> <div>LISTING PROMO PROMO PROMO CLICK BUY</button> <p>FAST LISTING FAST CLICK BONUS BUY BUY</form> PRICE_REF=69IGZKHBOO ORDER_REF=ZYQGSYN PROMO_ID=MOMKZQQXND COUPON=UJHB6P PRICE_REF=BURTE8IY0ME PRICE_REF=67IVFZOZY9RM SKU=ES3T2GQ ORDER_REF=AC7VJJB8 SELLER_CODE=IMJ3BMKJG6NP BUNDLE_REF=MMLLDVAIHK1V9 PRICE_REF=BS2T7LB1C104R COUPON=PE1Z31L LISTING_ID=RD79Q1BDJXEBY"
DOC_00013,"Hello, I have a 92 Toyota 4X4 and in the last few weeks I have been getting quite a few ""dings"" :( in the paint on the hood from rocks and debris off of the road. I have never had any major problems with other car/trucks in the past (maybe a ding once in a while). I went to the dealer and he said that it happens all of the time and he recomended putting a bug deflector on the hood. He said that the trucks, for some unknown reason, seem to have this problem more than some cars.? It seems to me that either my luck is really bad or there might be a problem with the paint (painted on a monday morning perhaps?). How well do these bug deflectors work for small road debris on trucks? If anyone has any experiences/suggestions please let me know, thanks. --Greg"
DOC_00014,"I don't know if some lemons are out there, but from personal experience My brother's has been trouble free. Not one single repair, only regular maintainance. The only work he had done on it was a result of his stupidity... he stopped suddenly in the middle of a left turn on a busy intersection, and was rear-ended. He has a 1989 Plymouth Sundance. I would recomend it, but I would also like to say that if you can wait about six months, ChryCo is coming out with a new car called the Neon, that is built in the same way as the LH's where. Good luck with your desiscion."
DOC_00015,"The VW ""Thing"" Kubelwagen lookalike is still manufactured in Mexico and possibly South America. Good luck importing one-- They probably don't meet US safety and pollution requirements. There are mechanics and junkyards which specialize in VW; they might be helpful for finding a ""Thing"" unless the WWII re-enacters have grabbed them all. The WWII Kubelwagen was the German equivalent of the Jeep, but was not 4- wheel drive. One is on display at the Patton Museum at Fort Knox, Kentucky, also the rare ""Schwimwagen"" (sp?) amphibious version, in full-scale dioramas. Highly recommended! --"
DOC_00016,"It would seem logical that the mask is Potvins. His nickname is ""The Cat"", which would go a long ways towards explaining the panther. Of course, it could be an old story and the mask is Fuhrs, too....."
DOC_00017,"You can go to the DMV and ask for their listing. Although I don't know where you may actually buy a copy, you can use theirs for your perusal. In California, the listing of personalized license plates run 3 volumes, each about 1.5"" thick. I hope this is what you're asking for. Ken"
